input,fft(real),fft(imaginary),ifft(real),ifft(imaginary)
0.45098,10.2841,0.172736,0.45098,4.3872e-009
0.435294,10.3264,0.107613,0.435294,4.69588e-009
0.411765,10.3556,0.451787,0.411765,5.0456e-009
0.380392,10.7243,0.0763001,0.380392,5.31472e-009
0.356863,10.1471,0.0385918,0.356863,5.56585e-009
0.32549,10.4085,0.544504,0.32549,5.8114e-009
0.294118,10.7617,0.226461,0.294118,6.01631e-009
0.262745,10.3996,-0.0107185,0.262745,6.19958e-009
0.231373,10.1569,0.320135,0.231373,6.35455e-009
0.2,10.4396,1.12229,0.2,6.47645e-009
0.168627,11.7528,0.421456,0.168627,6.60677e-009
0.129412,10.9907,-0.34492,0.129412,6.70819e-009
0.0980392,10.7164,-0.550376,0.0980392,6.77997e-009
0.0588235,10.0866,0.0830165,0.0588235,6.80814e-009
0.027451,10.5885,0.13382,0.027451,6.82354e-009
-0.0117647,10.4147,0.224695,-0.0117647,6.82626e-009
-0.0431373,10.6068,0.452468,-0.0431373,6.78407e-009
-0.0823529,11.0054,0.0577614,-0.0823529,6.71773e-009
-0.113725,10.3547,0.0597142,-0.113725,6.63289e-009
-0.152941,10.7113,0.479044,-0.152941,6.5247e-009
-0.184314,11.0772,0.180355,-0.184314,6.36574e-009
-0.215686,10.5479,-0.114408,-0.215686,6.23936e-009
-0.254902,10.8058,0.39971,-0.254902,6.04594e-009
-0.286275,10.834,0.0586455,-0.286275,5.82304e-009
-0.317647,10.8511,0.0538162,-0.317647,5.57275e-009
-0.341176,10.6203,0.00755475,-0.341176,5.31493e-009
-0.372549,10.5911,0.3729,-0.372549,5.04077e-009
-0.396078,11.1546,0.188909,-0.396078,4.73357e-009
-0.419608,10.5439,-0.0444893,-0.419608,4.42245e-009
-0.443137,10.8454,0.405339,-0.443137,4.11765e-009
-0.466667,11.0248,0.150842,-0.466667,3.77722e-009
-0.490196,10.6579,-0.0224575,-0.490196,3.40173e-009
-0.505882,11.0076,0.494455,-0.505882,3.00933e-009
-0.521569,10.8375,-0.151464,-0.521569,2.61822e-009
-0.537255,10.8414,0.457216,-0.537255,2.20214e-009
-0.545098,11.0685,0.118787,-0.545098,1.80355e-009
-0.552941,10.8891,0.025215,-0.552941,1.4198e-009
-0.560784,10.7765,0.386987,-0.560784,1.03092e-009
-0.568627,11.2615,0.205237,-0.568627,5.95454e-010
-0.568627,10.8461,-0.0750073,-0.568627,1.6495e-010
-0.568627,10.8181,0.439123,-0.568627,-2.33432e-010
-0.568627,11.2318,0.242218,-0.568627,-6.14188e-010
-0.568627,11.0452,0.0449781,-0.568627,-1.03224e-009
-0.560784,10.8221,0.266955,-0.560784,-1.48077e-009
-0.552941,11.2513,0.330567,-0.552941,-1.89443e-009
-0.537255,11.0629,0.19866,-0.537255,-2.28125e-009
-0.529412,11.1543,0.032561,-0.529412,-2.64766e-009
-0.513725,10.8957,0.510569,-0.513725,-3.03586e-009
-0.498039,11.5405,0.123679,-0.498039,-3.40795e-009
-0.47451,10.8893,0.01978,-0.47451,-3.74459e-009
-0.458824,11.1094,0.558731,-0.458824,-4.06419e-009
-0.435294,11.4767,0.0859196,-0.435294,-4.40567e-009
-0.411765,11.0162,0.289227,-0.411765,-4.69503e-009
-0.388235,11.3792,0.227846,-0.388235,-4.96388e-009
-0.356863,11.2936,0.277316,-0.356863,-5.2273e-009
-0.333333,11.2476,0.142429,-0.333333,-5.45467e-009
-0.301961,11.4043,0.244908,-0.301961,-5.6852e-009
-0.270588,11.1269,0.214894,-0.270588,-5.88785e-009
-0.239216,11.495,0.313291,-0.239216,-6.08111e-009
-0.2,11.3335,0.210501,-0.2,-6.21305e-009
-0.168627,11.3056,0.190026,-0.168627,-6.28159e-009
-0.137255,11.5302,0.467672,-0.137255,-6.39695e-009
-0.0980392,11.4795,-0.0424127,-0.0980392,-6.47421e-009
-0.0666667,11.2556,0.357579,-0.0666667,-6.5228e-009
-0.027451,11.6409,0.386284,-0.027451,-6.54591e-009
0.00392157,11.5582,-0.0107131,0.00392157,-6.53672e-009
0.0431373,11.2577,0.281216,0.0431373,-6.48446e-009
0.0745098,11.701,0.554243,0.0745098,-6.42836e-009
0.113725,11.7403,-0.324805,0.113725,-6.35659e-009
0.145098,10.9107,0.659182,0.145098,-6.24214e-009
0.184314,12.2645,0.32873,0.184314,-6.10271e-009
0.215686,11.3832,-0.0873048,0.215686,-5.94343e-009
0.247059,11.3295,0.407217,0.247059,-5.73964e-009
0.278431,12.0878,0.63414,0.278431,-5.53769e-009
0.309804,11.6484,-0.413035,0.309804,-5.33105e-009
0.341176,11.2662,0.680673,0.341176,-5.05867e-009
0.364706,12.2374,0.345808,0.364706,-4.79561e-009
0.396078,11.5117,-0.176553,0.396078,-4.51188e-009
0.419608,11.6353,0.591362,0.419608,-4.18105e-009
0.443137,11.8901,0.173975,0.443137,-3.85052e-009
0.466667,11.7169,0.232009,0.466667,-3.50022e-009
0.482353,11.7549,0.442136,0.482353,-3.14323e-009
0.505882,11.9714,0.143028,0.505882,-2.76918e-009
0.521569,11.6729,0.422823,0.521569,-2.3473e-009
0.529412,12.113,0.252222,0.529412,-1.96384e-009
0.545098,11.725,0.0737378,0.545098,-1.57175e-009
0.552941,11.6607,0.457498,0.552941,-1.18072e-009
0.560784,11.912,0.419787,0.560784,-7.80272e-010
0.568627,11.7841,0.483997,0.568627,-3.49383e-010
0.568627,11.8942,0.665415,0.568627,8.60879e-011
0.568627,12.0771,0.634064,0.568627,4.93278e-010
0.568627,11.9285,1.00239,0.568627,8.93935e-010
0.560784,12.976,1.16916,0.560784,1.29615e-009
0.560784,13.2498,0.23095,0.560784,1.70957e-009
0.552941,12.8595,-0.300035,0.552941,2.14424e-009
0.537255,12.343,-0.468893,0.537255,2.52534e-009
0.529412,11.7946,0.115529,0.529412,2.89893e-009
0.513725,12.4609,0.32143,0.513725,3.2904e-009
0.498039,12.2284,0.203871,0.498039,3.65599e-009
0.47451,12.5133,0.187773,0.47451,3.99084e-009
0.458824,12.3661,0.150261,0.458824,4.30816e-009
0.435294,12.3542,0.150204,0.435294,4.64752e-009
0.411765,12.5188,0.169714,0.411765,4.93533e-009
0.388235,12.1699,0.154156,0.388235,5.22753e-009
0.356863,12.647,0.399989,0.356863,5.47488e-009
0.333333,12.4174,0.139573,0.333333,5.71576e-009
0.301961,12.7485,0.249061,0.301961,5.93631e-009
0.270588,12.356,-0.113403,0.270588,6.13267e-009
0.239216,12.3607,0.581605,0.239216,6.3087e-009
0.207843,13.0931,0.118063,0.207843,6.49064e-009
0.168627,12.0958,-0.240824,0.168627,6.61006e-009
0.137255,12.5495,0.968316,0.137255,6.69383e-009
0.0980392,13.2025,-0.142392,0.0980392,6.74212e-009
0.0666667,12.173,0.0640251,0.0666667,6.76961e-009
0.027451,12.7344,0.715275,0.027451,6.78782e-009
-0.00392157,13.2033,0.00482173,-0.00392157,6.76232e-009
-0.0431373,12.3214,0.0822926,-0.0431373,6.73725e-009
-0.0745098,12.9284,0.448499,-0.0745098,6.68433e-009
-0.113725,12.8557,0.39365,-0.113725,6.60989e-009
-0.145098,13.0804,-0.195546,-0.145098,6.47351e-009
-0.184314,12.3874,0.588245,-0.184314,6.34323e-009
-0.215686,13.4188,0.214171,-0.215686,6.17476e-009
-0.247059,12.7936,0.047864,-0.247059,5.98124e-009
-0.278431,12.7756,0.269817,-0.278431,5.76949e-009
-0.309804,13.1344,0.392561,-0.309804,5.57206e-009
-0.341176,12.9816,0.247697,-0.341176,5.30297e-009
-0.364706,13.2369,0.0206195,-0.364706,5.0389e-009
-0.396078,12.4921,0.43741,-0.396078,4.74891e-009
-0.419608,13.8265,0.660233,-0.419608,4.42285e-009
-0.443137,12.9346,-0.631394,-0.443137,4.0935e-009
-0.466667,12.6469,1.10036,-0.466667,3.73395e-009
-0.482353,14.059,0.0331745,-0.482353,3.38299e-009
-0.505882,12.648,0.0815585,-0.505882,3.01262e-009
-0.521569,13.5237,0.513966,-0.521569,2.59096e-009
-0.529412,13.1118,0.180345,-0.529412,2.20696e-009
-0.545098,13.6177,0.598855,-0.545098,1.81836e-009
-0.552941,13.3966,-0.282023,-0.552941,1.43086e-009
-0.560784,13.0061,0.78091,-0.560784,1.03685e-009
-0.568627,14.0268,0.200507,-0.568627,5.87939e-010
-0.568627,13.1967,0.00719975,-0.568627,1.63016e-010
-0.568627,13.3619,0.51596,-0.568627,-2.38197e-010
-0.568627,13.7763,0.429175,-0.568627,-6.26489e-010
-0.568627,13.6287,0.0449922,-0.568627,-1.04197e-009
-0.560784,13.3519,0.444949,-0.560784,-1.46206e-009
-0.552941,13.9993,0.381567,-0.552941,-1.87849e-009
-0.545098,13.4585,0.154242,-0.545098,-2.29543e-009
-0.529412,13.9248,0.442627,-0.529412,-2.68893e-009
-0.513725,13.6522,0.195961,-0.513725,-3.05262e-009
-0.498039,13.8302,0.400154,-0.498039,-3.41306e-009
-0.482353,13.9575,0.275544,-0.482353,-3.76827e-009
-0.458824,13.6662,0.256919,-0.458824,-4.13348e-009
-0.435294,14.1012,0.456874,-0.435294,-4.42664e-009
-0.411765,13.8611,0.249015,-0.411765,-4.70282e-009
-0.388235,13.9852,0.263622,-0.388235,-4.97272e-009
-0.364706,14.0437,0.661066,-0.364706,-5.24025e-009
-0.333333,14.2583,-0.10576,-0.333333,-5.49133e-009
-0.301961,13.7455,0.633023,-0.301961,-5.7196e-009
-0.270588,14.4723,0.354719,-0.270588,-5.90541e-009
-0.239216,14.0298,0.225415,-0.239216,-6.05102e-009
-0.207843,14.3541,0.545975,-0.207843,-6.19708e-009
-0.176471,14.1456,0.159726,-0.176471,-6.34101e-009
-0.137255,14.5235,0.641055,-0.137255,-6.43675e-009
-0.105882,14.2348,0.0668409,-0.105882,-6.49616e-009
-0.0666667,14.4283,0.483014,-0.0666667,-6.53123e-009
-0.0352941,14.2324,0.577573,-0.0352941,-6.55312e-009
0.00392157,14.9688,0.346235,0.00392157,-6.53452e-009
0.0352941,14.1625,0.147922,0.0352941,-6.5019e-009
0.0745098,14.4589,0.915925,0.0745098,-6.46016e-009
0.105882,15.2049,0.433377,0.105882,-6.38459e-009
0.145098,14.5593,0.188181,0.145098,-6.26329e-009
0.176471,14.5538,0.560077,0.176471,-6.12107e-009
0.207843,15.3173,1.00486,0.207843,-5.9832e-009
0.247059,15.2377,-0.0516519,0.247059,-5.81444e-009
0.278431,15.4907,0.0419449,0.278431,-5.56558e-009
0.309804,14.0279,-0.315733,0.309804,-5.33464e-009
0.333333,15.0646,0.995079,0.333333,-5.0911e-009
0.364706,15.0287,0.437278,0.364706,-4.83152e-009
0.388235,15.3762,0.445509,0.388235,-4.55229e-009
0.419608,15.535,0.176239,0.419608,-4.23161e-009
0.443137,14.7361,0.120251,0.443137,-3.87527e-009
0.458824,15.6571,0.441014,0.458824,-3.53009e-009
0.482353,15.0065,0.435701,0.482353,-3.18339e-009
0.498039,15.738,-0.0583679,0.498039,-2.797e-009
0.513725,15.1955,0.584182,0.513725,-2.43791e-009
0.529412,15.2645,-0.136618,0.529412,-2.05989e-009
0.545098,15.6868,0.880668,0.545098,-1.65171e-009
0.552941,15.5945,0.0508934,0.552941,-1.2413e-009
0.560784,15.4769,-0.265644,0.560784,-8.44747e-010
0.568627,15.4517,1.62531,0.568627,-4.09081e-010
